SalesDate, Quantity
2016-01-03,987
2016-01-04,1009
2016-01-05,1066
2016-01-06,933
2016-01-07,1079
2016-01-08,907
2016-01-09,1038
2016-01-10,886
2016-01-11,796
2016-01-12,916
2016-01-13,833
2016-01-14,1004
2016-01-15,730
2016-01-16,868
2016-01-18,774
2016-01-19,755
2016-01-20,673
2016-01-21,670
2016-01-22,714
2016-01-23,746
2016-01-24,748
2016-01-25,585
2016-01-26,719
2016-01-27,742
2016-01-29,600
2016-01-30,680
2016-01-31,650
2016-02-01,706
2016-02-02,679
2016-02-04,629
2016-02-05,542
2016-02-06,483
2016-02-07,564
2016-02-08,625
2016-02-09,475
2016-02-10,619
2016-02-11,481
2016-02-12,477
2016-02-13,546
2016-02-14,603
2016-02-15,673
2016-02-16,516
2016-02-17,592
2016-02-18,550
2016-02-19,595
2016-02-20,516
2016-02-21,450
2016-02-22,533
2016-02-23,568
2016-02-24,505
2016-02-25,516
2016-02-26,464
2016-02-27,516
2016-02-29,479
2016-03-01,543
2016-03-02,622
2016-03-03,671
2016-03-04,630
2016-03-05,645
2016-03-06,519
2016-03-07,700
2016-03-08,560
2016-03-09,624
2016-03-10,641
2016-03-11,630
2016-03-12,731
2016-03-13,714
2016-03-14,677
2016-03-15,601
2016-03-16,638
2016-03-17,634
2016-03-18,748
2016-03-19,725
2016-03-20,673
2016-03-21,680
2016-03-22,643
2016-03-24,719
2016-03-26,658
2016-03-27,608
2016-03-28,677
2016-03-29,697
2016-03-31,567
2016-04-01,663
2016-04-02,588
2016-04-03,648
2016-04-04,656
2016-04-05,560
2016-04-06,688
2016-04-07,711
2016-04-09,663
2016-04-10,837
2016-04-11,674
2016-04-12,683
2016-04-14,705
2016-04-15,619
2016-04-16,609
2016-04-17,798
2016-04-18,685
2016-04-19,688
2016-04-20,524
2016-04-21,710
2016-04-22,840
2016-04-23,759
2016-04-24,848
2016-04-25,782
2016-04-27,781
2016-04-28,753
2016-04-29,868
2016-04-30,792
2016-05-01,815
2016-05-02,814
2016-05-03,777
2016-05-04,857
2016-05-05,712
2016-05-07,865
2016-05-08,799
2016-05-09,734
2016-05-10,695
2016-05-11,777
2016-05-12,742
2016-05-13,826
2016-05-14,963
2016-05-15,958
2016-05-16,961
2016-05-17,880
2016-05-18,750
2016-05-19,640
2016-05-20,740
2016-05-21,877
2016-05-23,688
2016-05-24,912
2016-05-25,877
2016-05-26,819
2016-05-27,724
2016-05-28,778
2016-05-29,818
2016-05-30,770
2016-06-01,884
2016-06-02,936
2016-06-03,831
2016-06-04,907
2016-06-05,878
2016-06-06,769
2016-06-07,745
2016-06-08,923
2016-06-09,966
2016-06-10,816
2016-06-11,782
2016-06-12,942
2016-06-13,966
2016-06-14,804
2016-06-15,887
2016-06-16,880
2016-06-17,926
2016-06-18,939
2016-06-19,848
2016-06-20,730
2016-06-21,784
2016-06-22,969
2016-06-23,948
2016-06-24,864
2016-06-25,684
2016-06-26,839
2016-06-27,760
2016-06-28,750
2016-06-29,861
2016-07-01,1004
2016-07-02,960
2016-07-03,921
2016-07-04,914
2016-07-05,1025
2016-07-06,926
2016-07-07,945
2016-07-08,1120
2016-07-09,1012
2016-07-10,953
2016-07-11,1058
2016-07-12,975
2016-07-13,1062
2016-07-14,885
2016-07-15,883
2016-07-16,890
2016-07-17,963
2016-07-18,1011
2016-07-19,942
2016-07-20,839
2016-07-21,853
2016-07-22,991
2016-07-23,991
2016-07-24,928
2016-07-25,886
2016-07-26,1055
2016-07-27,913
2016-07-28,935
2016-07-29,894
2016-07-30,732
2016-07-31,948
2016-08-01,1011
2016-08-02,854
2016-08-03,829
2016-08-04,887
2016-08-05,904
2016-08-06,944
2016-08-07,826
2016-08-08,923
2016-08-10,764
2016-08-11,760
2016-08-12,952
2016-08-13,823
2016-08-14,815
2016-08-15,888
2016-08-16,896
2016-08-17,815
2016-08-18,790
2016-08-19,841
2016-08-20,869
2016-08-21,822
2016-08-22,811
2016-08-23,842
2016-08-25,783
2016-08-26,825
2016-08-27,634
2016-08-28,819
2016-08-29,817
2016-08-30,777
2016-08-31,654
2016-09-01,991
2016-09-02,770
2016-09-03,717
2016-09-04,744
2016-09-05,750
2016-09-06,755
2016-09-07,658
2016-09-08,782
2016-09-09,701
2016-09-10,650
2016-09-11,723
2016-09-12,684
2016-09-13,713
2016-09-14,622
2016-09-15,602
2016-09-16,713
2016-09-17,525
2016-09-19,725
2016-09-20,659
2016-09-21,628
2016-09-22,616
2016-09-23,704
2016-09-24,662
2016-09-25,615
2016-09-26,771
2016-09-27,635
2016-09-28,554
2016-09-29,676
2016-09-30,540
2016-10-01,744
2016-10-02,619
2016-10-03,654
2016-10-04,696
2016-10-05,591
2016-10-06,660
2016-10-07,691
2016-10-08,683
2016-10-09,612
2016-10-10,655
2016-10-11,689
2016-10-12,734
2016-10-13,808
2016-10-14,592
2016-10-15,628
2016-10-16,749
2016-10-17,699
2016-10-18,754
2016-10-19,710
2016-10-20,673
2016-10-21,721
2016-10-22,712
2016-10-23,764
2016-10-24,668
2016-10-25,860
2016-10-26,780
2016-10-27,867
2016-10-28,706
2016-10-29,816
2016-10-30,899
2016-10-31,882
2016-11-01,800
2016-11-02,1035
2016-11-03,1035
2016-11-04,866
2016-11-05,925
2016-11-06,866
2016-11-07,952
2016-11-08,1121
2016-11-09,1103
2016-11-10,1172
2016-11-11,1149
2016-11-12,1086
2016-11-13,1226
2016-11-14,1119
2016-11-15,1076
2016-11-16,1225
2016-11-17,1092
2016-11-18,1302
2016-11-19,1279
2016-11-20,1072
2016-11-21,1182
2016-11-22,1266
2016-11-24,1348
2016-11-25,1211
2016-11-26,1428
2016-11-27,1489
2016-11-28,1353
2016-11-29,1332
2016-12-01,1509
2016-12-02,1394
2016-12-03,1355
2016-12-04,1436
2016-12-06,1342
2016-12-07,1363
2016-12-08,1398
2016-12-09,1389
2016-12-10,1327
2016-12-11,1389
2016-12-12,1462
2016-12-13,1392
2016-12-14,1432
2016-12-15,1429
2016-12-16,1540
2016-12-17,1395
2016-12-18,1445
2016-12-19,1375
2016-12-20,1380
2016-12-21,1446
2016-12-22,1502
2016-12-23,1196
2016-12-24,1409
2016-12-25,1391
2016-12-26,1388
2016-12-27,1420
2016-12-28,1342
2016-12-29,1226
2016-12-30,1331
2016-12-31,1332
2017-01-01,1307
2017-01-02,1288
2017-01-03,1247
2017-01-04,1290
2017-01-05,1165
2017-01-06,1105
2017-01-09,1203
2017-01-10,1181
2017-01-11,1068
2017-01-12,1099
2017-01-13,1127
2017-01-14,1107
